NCAA,Rich Kern,Volleymetrics,Conference_2019,Conference_2020
Gardner-Webb,Gardner-Webb,Gardner-Webb University,Big South,Big South
George Mason,George Mason,George Mason University,Atlantic 10,Atlantic 10
George Washington,George Washington,George Washington University,Atlantic 10,Atlantic 10
Georgetown,Georgetown,Georgetown University,Big East,Big East
Georgia,Georgia,University of Georgia,Southeastern,SEC
Georgia St.,Georgia State,Georgia State University,Sun Belt,Sun Belt
Georgia Tech,Georgia Tech,Georgia Institute Of Technology,Atlantic Coast,ACC
Gonzaga,Gonzaga,Gonzaga University,West Coast,WCC
Grambling State,Grambling State,Grambling State University,Southwestern Athletic,SWAC
Grand Canyon,Grand Canyon,Grand Canyon University,Western Athletic,WAC
Green Bay,Green Bay,University of Wisconsin-Green Bay,Horizon League,Horizon
Hampton,Hampton,Hampton University,Big South,Big South
Hartford,Hartford,University of Hartford,America East,America East
Harvard,Harvard,Harvard University,Ivy League,Ivy League
Hawaii,Hawaii,University of Hawaii,Big West,Big West
High Point,High Point,High Point University,Big South,Big South
Hofstra,Hofstra,Hofstra University,Colonial Athletic Association,CAA
Holy Cross,Holy Cross,College of the Holy Cross,Patriot,Patriot
Houston,Houston,University of Houston,American Athletic,AAC
Houston Baptist,Houston Baptist,Houston Baptist University,Southland,Southland
Howard,Howard,Howard University,Mid-Eastern Athletic,MEAC
Idaho,Idaho,University of Idaho,Big Sky,Big Sky
Idaho St.,Idaho State,Idaho State University,Big Sky,Big Sky
Illinois,Illinois,University of Illinois Urbana-Champaign,Big Ten,Big Ten
Illinois St.,Illinois State,Illinois State University,Missouri Valley,MVC
Indiana,Indiana,"Indiana University, Bloomington",Big Ten,Big Ten
Indiana St.,Indiana State,Indiana State University,Missouri Valley,MVC
Iona,Iona,Iona College,Metro Atlantic Athletic,MAAC
Iowa,Iowa,University of Iowa,Big Ten,Big Ten
Iowa State,Iowa State,Iowa State University,Big 12,Big 12
IUPUI,IUPUI,Indiana University-Purdue University at Indianapolis,Horizon League,Horizon
Jackson St.,Jackson State,Jackson State University,Southwestern Athletic,SWAC
Jacksonville,Jacksonville,Jacksonville University,Atlantic Sun,ASUN
Jacksonville St.,Jacksonville State,Jacksonville State University,Ohio Valley,OVC
James Madison,James Madison,James Madison University,Colonial Athletic Association,CAA
Kansas,Kansas,University of Kansas,Big 12,Big 12
Kansas City,Kansas City,University of Missouri-Kansas City,Western Athletic,Summit League
Kansas St.,Kansas State,Kansas State University,Big 12,Big 12
Kennesaw St.,Kennesaw State,Kennesaw State University,Atlantic Sun,ASUN
Kent St.,Kent State,Kent State University,Mid-American,MAC
Kentucky,Kentucky,University of Kentucky,Southeastern,SEC
La Salle,La Salle,La Salle University,Atlantic 10,Atlantic 10
Lafayette,Lafayette,Lafayette College,Patriot,Patriot
Lamar University,Lamar,Lamar University,Southland,Southland
Lehigh,Lehigh,Lehigh University,Patriot,Patriot
Liberty,Liberty,Liberty University,Atlantic Sun,ASUN
Lipscomb,Lipscomb,Lipscomb University,Atlantic Sun,ASUN
Little Rock,Arkansas-Little Rock,"University of Arkansas, Little Rock",Sun Belt,Sun Belt
LIU,Long Island,Long Island University,Northeast,NEC
LMU (CA),LMU,Loyola Marymount University,West Coast,WCC
Long Beach St.,Long Beach State,"California State University, Long Beach",Big West,Big West
Louisiana,Louisiana-Lafayette,University of Louisiana,Sun Belt,Sun Belt
Louisiana Tech,Louisiana Tech,Louisiana Tech University,Conference USA,C-USA
Louisville,Louisville,University of Louisville,Atlantic Coast,ACC
Loyola Chicago,Loyola-Chicago,Loyola University Chicago,Missouri Valley,MVC
Loyola Maryland,Loyola University Maryland,Loyola University Maryland,Patriot,Patriot
LSU,LSU,Louisiana State University,Southeastern,SEC
Manhattan,Manhattan College,Manhattan College,Metro Atlantic Athletic,MAAC
Marist,Marist,Marist College,Metro Atlantic Athletic,MAAC
Marquette,Marquette,Marquette University,Big East,Big East
Marshall,Marshall,Marshall University,Conference USA,C-USA
Maryland,Maryland,University of Maryland,Big Ten,Big Ten
McNeese,McNeese State,McNeese State University,Southland,Southland
Memphis,Memphis,University of Memphis,American Athletic,AAC
Mercer,Mercer,Mercer University,Southern,SoCon
Merrimack,Merrimack,Merrimack College,Northeast,NEC
Miami (FL),Miami-FL,University of Miami,Atlantic Coast,ACC
Miami (OH),Miami-OH,Miami University (Ohio),Mid-American,MAC
Michigan,Michigan,University of Michigan,Big Ten,Big Ten
Michigan St.,Michigan State,Michigan State University,Big Ten,Big Ten
Middle Tenn.,Middle Tennessee,Middle Tennessee State University,Conference USA,C-USA
Milwaukee,Milwaukee,"University of Wisconsin, Milwaukee",Horizon League,Horizon
Minnesota,Minnesota,University of Minnesota,Big Ten,Big Ten
Mississippi St.,Mississippi State,Mississippi State University,Southeastern,SEC
Mississippi Val.,Mississippi Valley State,Mississippi Valley State University,Southwestern Athletic,SWAC
Missouri,Missouri,University of Missouri,Southeastern,SEC
Missouri St.,Missouri State,Missouri State University,Missouri Valley,MVC
Montana,Montana,University of Montana,Big Sky,Big Sky
Montana St.,Montana State,Montana State University-Bozeman,Big Sky,Big Sky
Morehead St.,Morehead State,Morehead State University,Ohio Valley,OVC
Morgan St.,Morgan State,Morgan State University,Mid-Eastern Athletic,MEAC
Murray St.,Murray State,Murray State University,Ohio Valley,OVC
N.C. A&T,North Carolina A&T,North Carolina A&T State University,Mid-Eastern Athletic,MEAC
N.C. Central,North Carolina Central,North Carolina Central University,Mid-Eastern Athletic,MEAC
Navy,Navy,U.S. Naval Academy,Patriot,Patriot
NC State,NC State,North Carolina State University,Atlantic Coast,ACC
Nebraska,Nebraska,University of Nebraska-Lincoln,Big Ten,Big Ten
Nevada,Nevada,"University of Nevada, Reno",Mountain West,Mountain West
New Hampshire,New Hampshire,University of New Hampshire,America East,America East
New Mexico,New Mexico,University of New Mexico,Mountain West,Mountain West
New Mexico St.,New Mexico State,New Mexico State University,Western Athletic,WAC
New Orleans,New Orleans,University of New Orleans,Southland,Southland
Niagara,Niagara,Niagara University,Metro Atlantic Athletic,MAAC
Nicholls,Nicholls State,Nicholls State University,Southland,Southland
NJIT,NJIT,New Jersey Institute of Technology,Atlantic Sun,America East
Norfolk St.,Norfolk State,Norfolk State University,Mid-Eastern Athletic,MEAC
North Ala.,North Alabama,University of North Alabama,Atlantic Sun,ASUN
North Carolina,North Carolina,University of North Carolina,Atlantic Coast,ACC
North Dakota,North Dakota,University of North Dakota,The Summit League,Summit League
North Dakota St.,North Dakota State,North Dakota State University,The Summit League,Summit League
North Florida,UNF,University of North Florida,Atlantic Sun,ASUN
North Texas,North Texas,University of North Texas,Conference USA,C-USA
Northeastern,Northeastern,Northeastern University,Colonial Athletic Association,CAA
Northern Ariz.,Northern Arizona,Northern Arizona University,Big Sky,Big Sky
Northern Colo.,Northern Colorado,University of Northern Colorado,Big Sky,Big Sky
Northern Ill.,Northern Illinois,Northern Illinois University,Mid-American,MAC
Northern Ky.,Northern Kentucky,Northern Kentucky University,Horizon League,Horizon
Northwestern,Northwestern,Northwestern University,Big Ten,Big Ten
Northwestern St.,Northwestern State,Northwestern State University,Southland,Southland
Notre Dame,Notre Dame,University of Notre Dame,Atlantic Coast,ACC
Oakland,Oakland,Oakland University,Horizon League,Horizon
Ohio,Ohio,Ohio University,Mid-American,MAC
